PID,l,f,h(m),g(mgal) ,FreeAir,Bouguer
P205,4.2,8.08,315.5,978060.5,24,-11.3
P206,5.2222,8.1181,306.4,978047.5,7.3,-27
P207,3.51,8.14,329.5,978056,22.3,-14.6
P208,5.11,8.14,504.7,978022.6,42.9,-13.5
P209,5,8.1875,148.1,978092.4,1.5,-15
P210,5,8.1875,148.1,978092.4,1.5,-15
P211,5.2639,8.1875,326.8,978041.2,5.5,-31
P212,4.28,8.2,335.6,978055.9,22.5,-15
P213,4.33,8.2,395.6,978044.3,29.5,-14.8
P214,3.46,8.21,292.6,978062.3,15.4,-17.3
P215,5.08,8.22,481.4,978034.6,45.8,-8.1
P216,4.93,8.23,401.3,978050.3,36.5,-8.4
P217,4.81,8.25,366.4,978056.4,31.3,-9.7
P218,5.3125,8.2708,357.5,978037.3,9,-31
P219,5.4431,8.2778,306.4,978063,18.7,-15.6
P220,5.0069,8.2778,132.8,978093.7,-4.2,-19.1
P221,3.54,8.29,326.4,978051.7,13.2,-23.3
P222,4.41,8.32,362.2,978052,23.8,-16.7
P223,5.3681,8.3472,367.7,978032.7,5.5,-35.6
P224,4.74,8.35,389.3,978046,25.4,-18.2
P225,3.39,8.37,324.3,978051.3,10.1,-26.2
P226,5.0139,8.375,168.5,978080.6,-8.8,-27.6
P227,5.4514,8.375,316.6,978065.2,21.5,-13.9
P228,4.61,8.41,376.4,978050.6,24.5,-17.6
P229,5.4236,8.4236,403.4,978027.7,9.5,-35.6
P230,5.4861,8.4583,342.1,978064.6,26.6,-11.6
P231,3.41,8.46,325.8,978058.7,15.7,-20.8
P232,4.53,8.46,335.6,978060.6,20.6,-17
P233,5.0278,8.4722,132.8,978085.6,-17.3,-32.2
P234,3.42,8.5,335,978055,13.7,-23.8
P235,5.5278,8.5486,321.7,978069.9,23.2,-12.8
P236,5.4861,8.5903,413.6,978029.5,10.1,-36.2
P237,5.6528,8.5972,209.4,978093.3,10.6,-12.8
P238,5.0417,8.6528,81.7,978113.6,-9.9,-19.1
P239,5.5417,8.6597,418.7,978030.9,11.2,-35.6
P240,5.0903,8.7014,153.2,978101.4,-1.4,-18.5
P241,5.7639,8.7014,127.7,978115,4.3,-9.9
P242,5.6111,8.7431,464.7,978017.8,10.1,-41.9
P243,5.1319,8.7847,112.3,978112.8,-4.8,-17.4
P244,5.8264,8.8056,56.2,978123.3,-12.3,-18.5
P245,5.6806,8.8125,485.1,978022,18.6,-35.6
P246,5.75,8.8819,587.3,978002.1,28.4,-37.3
P247,5.8681,8.8889,61.3,978122.2,-14,-20.8
P248,5.1458,8.9583,229.8,978084.7,-1.4,-27.1
P249,5.9236,8.9583,91.9,978113.6,-15.1,-25.4
P250,5.2917,9.0069,87.4,978143.6,12.2,2.4
P251,5.7847,9.0069,582.2,978005.4,26.6,-38.5
P252,5.3958,9.0139,127.1,978138.2,18.9,4.6
P253,5.4931,9.0208,222.4,978115.7,25.5,0.7
P254,6.5278,9.0208,464.7,978039.2,23.8,-28.2
P255,6.4028,9.0347,401.1,978046.3,10.9,-34
P256,5.7014,9.0417,258.2,978102.6,22.9,-6
P257,5.1944,9.0486,111.2,978136.1,10.9,-1.6
P258,5.0972,9.0556,99.3,978132,2.9,-8.2
P259,6.2986,9.0625,409.1,978042.4,8.7,-37.1
P260,5.5625,9.125,194.6,978107.6,6,-15.8
P261,5.9306,9.125,162.8,978103.2,-8.2,-26.5
P262,5.7569,9.125,258.2,978073.8,-8.2,-37.1
P263,5.4583,9.1667,150.9,978113.8,-2.5,-19.3
P264,5.7292,9.1806,147,978106.1,-11.8,-28.2
P265,5.6389,9.1875,158.9,978110.7,-3.8,-21.6
P266,5.8125,9.1875,262.1,978081.9,-0.7,-30
P267,5.375,9.2014,123.1,978123.9,-2,-15.8
P268,5.0347,9.2778,163.4,978123.6,8,-10.3
P269,5.2292,9.3125,139,978127,2.8,-12.7
P270,5.1458,9.3194,190.6,978118.8,10.4,-10.9
P271,5.1181,9.3403,168.5,978121.6,5.7,-13.1
P272,5.1806,9.4028,158.3,978123.7,2.8,-14.9
P273,5.5139,9.4097,331.9,978087.4,20,-17.1
P274,5.2639,9.4792,173.6,978113.7,-4.6,-24
P275,5.5694,9.4861,331.9,978086.8,17.1,-20
P276,5.3194,9.5486,224.7,978105.7,1.1,-24
P277,5.5903,9.5833,306.4,978094.7,14.3,-20
P278,5.6944,9.6042,357.5,978085.3,20,-20
P279,5.375,9.6319,204.3,978116.2,2.8,-20
P280,5.7292,9.6736,362.6,978085.7,20,-20.6
P281,5.3958,9.7361,224.7,978115.3,5.1,-20
P282,5.75,9.7708,306.4,978100.3,14.3,-20
P283,5.4097,9.8264,229.8,978117,5.7,-20
P284,5.7639,9.8333,280.9,978112.9,17.1,-14.3
P285,5.7708,9.9097,163.4,978134.3,0,-18.3
P286,5.3958,9.9306,306.4,978104.5,13.7,-20.6
P287,5.8194,10.0069,158.3,978135.4,-3.5,-21.2
P288,5.3958,10.0278,316.6,978104.9,14.2,-21.2
P289,5.7986,10.0833,255.3,978119.8,8.5,-20.1
P290,5.3958,10.1319,275.8,978117.3,10.8,-20.1
P291,5.8333,10.1597,117.5,978152.2,-4.1,-17.2
P292,5.3889,10.2292,306.4,978113.8,13.6,-20.6
P293,5.9097,10.2431,127.7,978156.2,0.5,-13.8
P294,5.4097,10.3264,321.7,978112.7,14.2,-21.8
P295,5.4861,10.3889,331.9,978108.7,11.3,-25.8
P296,5.4444,10.5694,296.2,978124.4,10.2,-23
P297,5.4167,10.6389,311.5,978120.2,8.5,-26.4
P298,5.3819,10.7153,280.9,978120.7,-3,-34.4
P299,5.3611,10.7986,275.8,978124.5,-3.5,-34.4
P300,5.3264,10.8889,291.1,978123.9,-2.4,-35
P301,5.3056,10.9931,316.6,978124.6,2.7,-32.7
P302,5.2639,11.1042,326.8,978120.1,-2.4,-39
